,addr,busiNm,powerType,stat,statNm
227,서울특별시 성동구 독서당로63길 40,환경부,급속(200kW동시),9,응봉동 공영주차장
228,서울특별시 성동구 독서당로63길 40,환경부,급속(200kW동시),9,응봉동 공영주차장
229,null,환경부,급속(200kW동시),9,해누리타운
230,null,환경부,급속(200kW동시),2,해누리타운
231,서울특별시 중구 청계천로 30,환경부,급속(200kW동시),9,예금보험공사
232,서울특별시 중구 청계천로 30,환경부,급속(200kW동시),9,예금보험공사
233,서울특별시 마포구 토정로 2,환경부,급속(200kW동시),9,양화진 공영주차장
234,서울특별시 마포구 토정로 2,환경부,급속(200kW동시),3,양화진 공영주차장
235,서울특별시 은평구 통일로 1050,환경부,급속(200kW동시),9,롯데마트 은평점
236,서울특별시 은평구 통일로 1050,환경부,급속(200kW동시),9,롯데마트 은평점
237,서울특별시 강남구 강남대로120길 33,환경부,급속(200kW동시),9,논현초교 공영노외주차장
238,서울특별시 강남구 강남대로120길 33,환경부,급속(200kW동시),9,논현초교 공영노외주차장
239,서울특별시 강남구 선릉로108길 27,환경부,급속(200kW동시),9,강남치매지원센터 공영노외주차장
240,서울특별시 강남구 선릉로108길 27,환경부,급속(200kW동시),2,강남치매지원센터 공영노외주차장
241,서울특별시 마포구 동교로1길 39,환경부,급속(200kW동시),3,망원동 공영주차장1
242,서울특별시 마포구 동교로1길 39,환경부,급속(200kW동시),9,망원동 공영주차장1
243,서울특별시 마포구 동교로1길 39,환경부,급속(200kW동시),9,망원동 공영주차장1
244,서울특별시 마포구 동교로1길 39,환경부,급속(200kW동시),2,망원동 공영주차장1
245,서울특별시 마포구 동교로1길 39,환경부,급속(200kW동시),9,망원동 공영주차장1
246,서울특별시 마포구 동교로1길 39,환경부,급속(200kW동시),9,망원동 공영주차장1
247,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
248,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
249,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),9,압구정 428 공영주차장1
250,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
251,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
252,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
253,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
254,서울특별시 강남구 압구정로 161,환경부,급속(100kW멀티),2,압구정 428 공영주차장1
255,서울특별시 송파구 올림픽로,환경부,급속(500kW동시),5,서울올림픽공원 남2문주차장
256,서울특별시 송파구 올림픽로,환경부,급속(500kW동시),9,서울올림픽공원 남2문주차장
257,서울특별시 송파구 올림픽로,환경부,급속(500kW동시),2,서울올림픽공원 남2문주차장
258,서울특별시 송파구 올림픽로,환경부,급속(500kW동시),9,서울올림픽공원 남2문주차장
259,서울특별시 송파구 올림픽로,환경부,급속(500kW동시),9,서울올림픽공원 남2문주차장
260,서울특별시 노원구 노원로 ,환경부,급속(500kW동시),3,롯데마트 중계점 야외주차장
261,서울특별시 노원구 노원로 ,환경부,급속(500kW동시),5,롯데마트 중계점 야외주차장
262,서울특별시 노원구 노원로 ,환경부,급속(500kW동시),3,롯데마트 중계점 야외주차장
263,서울특별시 노원구 노원로 ,환경부,급속(500kW동시),9,롯데마트 중계점 야외주차장
264,서울특별시 노원구 노원로 ,환경부,급속(500kW동시),2,롯데마트 중계점 야외주차장
265,서울특별시 강서구 발산로 40,환경부,급속(200kW동시),2,서울 농수산식품공사 강서지부
266,서울특별시 강서구 발산로 40,환경부,급속(200kW동시),2,서울 농수산식품공사 강서지부
267,서울특별시 송파구 양재대로 932,환경부,급속(200kW동시),2,가락시장
268,서울특별시 송파구 양재대로 932,환경부,급속(200kW동시),2,가락시장
269,서울특별시 송파구 양재대로 932,환경부,급속(200kW동시),2,가락시장
270,서울특별시 송파구 양재대로 932,환경부,급속(200kW동시),2,가락시장
271,서울특별시 송파구 양재대로 932,환경부,급속(200kW동시),2,가락시장
272,서울특별시 송파구 양재대로 932,환경부,급속(200kW동시),2,가락시장
273,서울특별시 영등포구 선유로17길 24,씨어스,,2,신일아르디세
274,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
275,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
276,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
277,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
278,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
279,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
280,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
281,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
282,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
283,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
284,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
285,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
286,서울특별시 양천구 목동서로 367,(주)씨어스,,2,양천문화회관
